"TOA5","OLFPR","CR6","6964","CR6.Std.06.08","CPU:dataKarinaAndre.CR6","4134","avg_h"
"TIMESTAMP","RECORD","BattV_Min","thermoGHI_Avg","PhotoGHI_Avg","Temp_Avg","WS_ms_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","RHum_Avg","RHum_Max","thermoGHI_Std","PhotoGHI_Std","Temp_Std","WS_ms_Std","RHum_Min"
"TS","RN","Volts","W/m^2","W/m2","Deg C","meters/second","meters/second","Deg","Deg","%","%","W/m^2","W/m2","Deg C","meters/second","%"
"","","Min","Avg","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Max","Std","Std","Std","Std","Min"
"2022-08-29 11:00:00",1,12.23,268.5,281,21.35,1.063,1.063,212.3,21.83,64.43,68.23,37.57,38.37,0.183,0.841,62.62
"2022-08-29 12:00:00",2,12.22,366.2,374.9,21.3,1.145,1.145,212.5,32.13,65.73,68.33,96.4,95.1,0.283,0.734,61.13
"2022-08-29 13:00:00",3,12.21,526.5,534.3,22.45,1.263,1.263,221.8,37.68,59.68,63.22,227,234.7,0.331,0.801,56.4
"2022-08-29 14:00:00",4,12.21,388.5,391.9,22.35,1.417,1.417,226.6,32.98,60.39,63.73,163.2,168.5,0.394,0.845,56.99
"2022-08-29 15:00:00",5,12.19,339.1,344.8,22.03,1.218,1.218,227.2,27.65,63.02,66.34,160.4,167.1,0.372,0.79,60.14
"2022-08-29 16:00:00",6,12.21,300,308,21.33,1.277,1.277,225.2,34.69,64.54,67.27,100.2,104.6,0.231,0.797,62.03
"2022-08-29 17:00:00",7,12.21,182.4,190.2,21.25,0.974,0.974,212.8,26.81,64.18,67.43,98.3,103.8,0.29,0.696,60.52
"2022-08-29 18:00:00",8,12.22,36.83,38.46,19.87,1.119,1.119,214.9,22.42,71.95,75.52,17.89,18.42,0.464,0.713,66.93
"2022-08-29 19:00:00",9,12.22,2.488,4.141,18.82,0.893,0.893,216.2,19.72,76.63,78.48,3.817,4.596,0.225,0.67,75.15
"2022-08-29 20:00:00",10,12.22,0,0.007,18.05,1.019,1.019,224.4,17.16,79.39,81,0,0.016,0.221,0.654,78.28
"2022-08-29 21:00:00",11,12.23,0,0.003,17.3,0.645,0.645,239,13.91,82.1,83,0,0.015,0.17,0.548,80.8
"2022-08-29 22:00:00",12,12.23,0,0.002,16.94,0.462,0.462,234.5,12.7,81.6,82.9,0,0.016,0.099,0.514,80.6
"2022-08-29 23:00:00",13,12.24,0,0.002,16.63,0.233,0.233,250.8,7.159,80,81.1,0,0.016,0.186,0.425,79.05
"2022-08-30 00:00:00",14,12.23,0,0,15.78,0.26,0.26,237.7,4.571,81.5,83.6,0,0.016,0.279,0.443,79.73
"2022-08-30 01:00:00",15,12.23,0,0,15.14,0.336,0.336,243.1,3.896,82.7,85.6,0,0.017,0.289,0.474,81.5
"2022-08-30 02:00:00",16,12.23,0,0.001,13.74,0.188,0.188,245.5,0.029,86.5,88.6,0,0.017,0.258,0.392,85.1
"2022-08-30 03:00:00",17,12.23,0,0,13.11,0.509,0.509,241.5,5.71,89.3,91.5,0,0.018,0.228,0.503,87.2
"2022-08-30 04:00:00",18,12.24,0,0.008,12.57,0.537,0.537,217.8,0.818,91.2,92.7,0,0.023,0.166,0.502,89.4
"2022-08-30 05:00:00",19,12.23,7.132,10.11,12.57,0.557,0.557,212.3,5.705,90.4,92.5,10.59,13.54,0.301,0.503,86.6
"2022-08-30 06:00:00",20,12.22,37.78,43.11,13.71,0.403,0.403,219.8,5.086,85.4,87.2,9.59,9.71,0.34,0.494,81.9
"2022-08-30 07:00:00",21,12.23,84.6,83.9,14.09,0.46,0.46,222.3,6.681,84.3,86.5,52.61,52.36,0.401,0.507,79.96
"2022-08-30 08:00:00",22,12.23,392.3,389.4,16.65,0.92,0.92,235.7,24.41,73.61,83.6,47.65,47.34,1.04,0.671,64.69
"2022-08-30 09:00:00",23,12.23,503,500,19.05,1.149,1.149,255.5,39.76,64.31,66.12,105,106.6,0.621,0.777,62.12
"2022-08-30 10:00:00",24,12.22,535.5,535.9,20.11,1.553,1.553,282.7,44.45,62.73,64.76,194.2,195.7,0.313,0.893,59.34
"2022-08-30 11:00:00",25,12.22,498.8,502.9,21.05,1.467,1.467,268.4,46.88,59.33,61.39,244,248.3,0.303,0.91,56.44
"2022-08-30 12:00:00",26,12.21,439.5,444.2,21.58,1.303,1.303,272.5,44.9,58.1,60,206.5,214.4,0.211,0.808,56.24
"2022-08-30 13:00:00",27,12.21,646.9,655.7,22.69,1.26,1.26,268.1,48,53.72,57.5,226.3,232.5,0.552,0.795,49.92
"2022-08-30 14:00:00",28,12.2,492.1,502.3,23.43,1.203,1.203,279.2,46.72,50.59,52.81,278.5,288,0.428,0.93,47.3
"2022-08-30 15:00:00",29,12.21,321.5,326.8,22.99,1.301,1.301,261.8,48.86,50.73,53.73,169.4,177.9,0.326,0.829,48.62
"2022-08-30 16:00:00",30,12.21,212.4,220.2,22.81,1.172,1.172,267.7,42.41,51.09,52.42,67.39,72.71,0.15,0.803,48.47
"2022-08-30 17:00:00",31,12.21,110.4,117.4,21.9,1.467,1.467,267.1,41.11,55.24,56.95,51.54,57.88,0.49,0.864,50.95
"2022-08-30 18:00:00",32,12.21,57.08,61.64,21.2,1.29,1.29,261.7,38.34,57.17,58.35,26.68,28.5,0.278,0.811,55.72
"2022-08-30 19:00:00",33,12.21,2.115,3.36,20.26,1.245,1.246,261.1,36.28,58.17,59.03,2.933,3.449,0.289,0.766,57.52
"2022-08-30 20:00:00",34,12.23,0,0.003,19.02,1.113,1.113,251.4,29.42,60.11,61.6,0,0.015,0.439,0.7,58.81
"2022-08-30 21:00:00",35,12.23,0,0.003,17.53,0.751,0.751,255.4,23.22,62.9,64.38,0,0.015,0.338,0.6,61.44
"2022-08-30 22:00:00",36,12.23,0,0.002,16.73,0.827,0.827,279.1,28.07,60.95,63.98,0,0.016,0.239,0.667,58.85
"2022-08-30 23:00:00",37,12.22,0,0.001,15.88,0.595,0.595,256.9,21.17,57.82,59.42,0,0.016,0.278,0.54,56.89
"2022-08-31 00:00:00",38,12.24,0,0.001,14.78,0.645,0.645,249.8,18.24,59.66,62.81,0,0.016,0.354,0.561,56.87
"2022-08-31 01:00:00",39,12.23,0,0.001,13.7,0.521,0.521,245.3,11.15,66.26,69.27,0,0.018,0.282,0.535,62.66
"2022-08-31 02:00:00",40,12.23,0,0.001,13.1,0.526,0.526,257.1,19.71,71.18,73.59,0,0.018,0.178,0.535,68.6
"2022-08-31 03:00:00",41,12.23,0,0,12.43,0.573,0.573,242.3,10.61,75.66,77.69,0,0.019,0.189,0.511,73.37
"2022-08-31 04:00:00",42,12.23,0,0.006,11.88,0.556,0.556,236.4,8.86,79.26,81,0,0.022,0.131,0.522,77.42
"2022-08-31 05:00:00",43,12.24,6.096,10.12,11.24,0.63,0.63,240.8,10.96,83.1,84.2,8.83,12.2,0.173,0.491,80.8
"2022-08-31 06:00:00",44,12.24,92,99.1,12.7,0.534,0.534,244.5,11.61,78.09,82.1,38.19,35.72,0.636,0.528,74.63
"2022-08-31 07:00:00",45,12.23,239.8,239.3,15.17,0.9,0.9,263.1,31.65,69.41,74.78,48.68,47.64,0.614,0.661,66.2
"2022-08-31 08:00:00",46,12.23,399.2,396.2,17.09,1.201,1.201,294.6,38.78,64.35,67.14,42.86,42.48,0.58,0.814,61.67
"2022-08-31 09:00:00",47,12.23,539.6,534.6,18.74,1.722,1.722,293.8,45.26,59.35,62.89,38.11,37.79,0.478,1.048,55.6
"2022-08-31 10:00:00",48,12.21,439.6,434.3,19.79,1.646,1.646,280.7,46.65,54.49,56.51,250.3,260.6,0.19,0.942,52.36
"2022-08-31 11:00:00",49,12.22,649,647.1,20.75,1.785,1.785,262.4,44.86,49.01,54.26,219.2,226.6,0.58,1.029,44.57
"2022-08-31 12:00:00",50,12.2,668.3,668.8,21.95,1.745,1.745,282.5,48.79,44.17,47.43,176.2,184.6,0.437,1.075,40.63
"2022-08-31 13:00:00",51,12.21,698.9,703.8,22.78,1.878,1.878,291.8,49.26,40.2,43.57,71.16,73.85,0.443,1.117,37.3
"2022-08-31 14:00:00",52,12.21,606.5,615.3,23.41,1.745,1.745,284.3,50.84,36.22,38.51,110.5,115.4,0.281,0.977,34.44
"2022-08-31 15:00:00",53,12.21,514.7,526.9,23.71,1.57,1.57,266.4,45.02,36.05,38.03,102.9,106.6,0.224,1,34.31
"2022-08-31 16:00:00",54,12.2,363.8,376.9,23.48,1.41,1.41,250.6,39.3,35.38,36.66,61.93,64.63,0.212,0.869,34.25
"2022-08-31 17:00:00",55,12.21,212.5,222.1,22.42,1.709,1.709,229.2,33.66,44.22,50.91,45.31,48.83,0.63,1.001,34.04
"2022-08-31 18:00:00",56,12.21,65.31,72.5,20.72,1.339,1.339,221.1,28.14,53.28,56,37.43,46.43,0.451,0.811,50.05
"2022-08-31 19:00:00",57,12.22,1.661,4.03,19.17,0.832,0.832,220.8,17.12,59.32,63.07,2.775,4.3,0.466,0.591,55.9
"2022-08-31 20:00:00",58,12.24,0,0.005,17.72,0.787,0.787,220.6,12.02,64.8,66.54,0,0.016,0.408,0.528,63.01
"2022-08-31 21:00:00",59,12.23,0,0.002,17.24,1.019,1.019,254.3,30.12,61.16,65.03,0,0.016,0.196,0.644,59.26
"2022-08-31 22:00:00",60,12.23,0,0.002,16.57,0.922,0.922,274.1,31.32,63.55,65.39,0,0.016,0.36,0.657,61.34
"2022-08-31 23:00:00",61,12.23,0,0.001,15.58,0.538,0.538,285.1,18.5,66.77,67.91,0,0.017,0.232,0.552,65.33
"2022-09-01 00:00:00",62,12.23,0,0.001,14.92,0.394,0.394,263.6,13.54,68.59,69.56,0,0.017,0.192,0.506,67.59
